room_id,building_id,room_num,room_type,room_capacity,num_computers,num_whiteboards
EGGC307,EGGC,307,COMP LAB,18,2,2
EGGC319,EGGC,319,COMP LAB,27,0,0
EGGC401,EGGC,401,CLASSROOM,30,3,3
EGGC405,EGGC,405,CLASSROOM,25,2,2
EGGC406,EGGC,406,CLASSROOM,20,1,1
EGGC408,EGGC,408,LABORATORY,18,0,0
EGGC409,EGGC,409,CLASSROOM,16,1,1
EGGC501,EGGC,501,COMP LAB,16,0,0
EGGC502,EGGC,502,STUDIO,100,0,0
EGGC602,EGGC,602,STUDIO,20,0,0
EGGC606,EGGC,606,CLASSROOM,24,3,3
EGGC607,EGGC,607,LABORATORY,30,2,2
EGGC701,EGGC,701,CLASSROOM,20,2,2
EGGC702,EGGC,702,CLASSROOM,20,3,3
EGGC703,EGGC,703,COMP LAB,15,0,0
EGGC704,EGGC,704,CLASSROOM,20,3,3
EGGC706,EGGC,706,CLASSROOM,20,2,2
EGGC901,EGGC,901,LABORATORY,25,0,0
EGGC902,EGGC,902,LABORATORY,16,0,0
EGGC903,EGGC,903,COMP LAB,20,0,0
EGGC904,EGGC,904,LABORATORY,20,0,0
EGGC1011,EGGC,1011,COMP LAB,18,0,0
EGGC1013,EGGC,1013,STUDIO,56,0,0
EGGC1119,EGGC,1119,STUDIO,20,0,0
EGGC1120,EGGC,1120,STUDIO,20,0,0
MC26011,MC26,11,CLASSROOM,20,2,2
MC26207,MC26,207,CLASSROOM,18,3,3
MC26312,MC26,312,CLASSROOM,36,4,4
MC26313,MC26,313,CLASSROOM,21,4,4
MC26314,MC26,314,CLASSROOM,16,3,3
MC26401,MC26,401,CLASSROOM,18,2,2
MC26408,MC26,408,CONFERENCE ROOM,24,2,2
MC26409,MC26,409,CLASSROOM,21,4,4
MC26410,MC26,410,CLASSROOM,24,4,4
MC26502,MC26,502,CLASSROOM,25,3,3
MC26503,MC26,503,COMP LAB,7,1,1
MC26504,MC26,504,COMP LAB,30,1,1
MC61603,MC61,603,CLASSROOM,12,0,0
MC61623,MC61,623,CLASSROOM,23,1,1
MC61624,MC61,624,CLASSROOM,50,2,2
MC61721,MC61,721,CLASSROOM,30,2,2
MC61722,MC61,722,CLASSROOM,22,1,1
MC61723,MC61,723,CLASSROOM,50,2,2
MC61812,MC61,812,LABORATORY,18,0,0
MC61820,MC61,820,CLASSROOM,32,2,2
MC61821,MC61,821,CLASSROOM,24,1,1
MC61822,MC61,822,CLASSROOM,50,2,2
MC61919,MC61,919,COMP LAB,17,1,1
MC61922,MC61,922,COMP LAB,15,0,0
MC61923,MC61,923,STUDIO,14,1,1
MC61924,MC61,924,COMP LAB,17,0,0
MC61925,MC61,925,STUDIO,18,1,1
MC61927,MC61,927,CLASSROOM,24,1,1
MC611026,MC61,1026,CLASSROOM,25,0,0
MC611029,MC61,1029,LABORATORY,20,0,0
MC611118,MC61,1118,CONFERENCE ROOM,7,2,2
MC611119,MC61,1119,CONFERENCE ROOM,13,2,2
