course_id,Subject,Course,Section #,course_name,event_day,start_time,end_time,building_code,room_num,Term,Cross-List
AAID 101/M01,AAID,101,M01,Design Fundamentals I,TF,9:00 AM,12:40 PM,EGGC,502,2025SP,
AAID 102/M01,AAID,102,M01,Design Fundamentals II,TF,9:00 AM,12:40 PM,EGGC,502,2025SP,
AAID 102/M02,AAID,102,M02,Design Fundamentals II,TF,9:00 AM,12:40 PM,EGGC,502,2025SP,
AAID 102/M03,AAID,102,M03,Design Fundamentals II,TF,9:00 AM,12:40 PM,EGGC,502,2025SP,
AAID 102/M04,AAID,102,M04,Design Fundamentals II,TF,9:00 AM,12:40 PM,EGGC,502,2025SP,
AAID 102/M05,AAID,102,M05,Design Fundamentals II,TF,9:00 AM,12:40 PM,EGGC,502,2025SP,
AAID 102/M08,AAID,102,M08,Design Fundamentals II,TF,2:00 PM,5:40 PM,EGGC,502,2025SP,
AAID 102/M09,AAID,102,M09,Design Fundamentals II,TF,2:00 PM,5:40 PM,EGGC,502,2025SP,
AAID 140/M01,AAID,140,M01,Visualization I,F,2:00 PM,6:00 PM,EGGC,501,2025SP,
AAID 240/M01,AAID,240,M01,Visualization II,M,9:00 AM,1:00 PM,MC61,919,2025SP,
AAID 240/M02,AAID,240,M02,Visualization II,M,9:00 AM,1:00 PM,EGGC,1013,2025SP,
AAID 240/M03,AAID,240,M03,Visualization II,M,9:00 AM,1:00 PM,EGGC,319,2025SP,
AAID 240/M05,AAID,240,M05,Visualization II,M,9:00 AM,1:00 PM,MC26,410,2025SP,
AAID 240/M09,AAID,240,M09,Visualization II,M,2:00 PM,6:00 PM,EGGC,319,2025SP,
ACCT 101/M01,ACCT,101,M01,Accounting I,MW,11:00 AM,12:20 PM,MC26,11,2025SP,
ACCT 102/M01,ACCT,102,M01,Accounting II,MW,11:00 AM,12:20 PM,EGGC,401,2025SP,
ACCT 110/M01,ACCT,110,M01,Managerial Accounting,MW,9:30 AM,10:50 AM,MC26,504,2025SP,
ACCT 501/M01,ACCT,501,M01,Accounting I,R,8:30 PM,9:50 PM,MC26,502,2025SP,
ACCT 601/E25,ACCT,601,E25,Managerial Accounting,TR,9:30 AM,12:15 PM,MC26,410,2025SP,
ACCT 601/M01,ACCT,601,M01,Managerial Accounting,T,5:45 PM,8:25 PM,MC26,502,2025SP,
ACCT 601/M02,ACCT,601,M02,Managerial Accounting,R,5:45 PM,8:15 PM,MC26,502,2025SP,
ACCT 601/M03,ACCT,601,M03,Managerial Accounting,W,2:45 PM,5:25 PM,MC26,313,2025SP,
ARCH 161/M01,ARCH,161,M01,Global Hist of Architecture I,R,9:00 AM,12:00 PM,MC26,408,2025SP,
ARCH 161/M02,ARCH,161,M02,Global Hist of Architecture I,R,9:00 AM,12:00 PM,MC26,502,2025SP,
ARCH 161/M03,ARCH,161,M03,Global Hist of Architecture I,R,9:00 AM,12:00 PM,EGGC,409,2025SP,
ARCH 161/M04,ARCH,161,M04,Global Hist of Architecture I,R,2:00 PM,5:00 PM,MC61,821,2025SP,
ARCH 202/M01,ARCH,202,M01,Architectural Design II,MR,9:00 AM,12:40 PM,EGGC,502,2025SP,
ARCH 202/M02,ARCH,202,M02,Architectural Design II,MR,9:00 AM,12:40 PM,EGGC,502,2025SP,
ARCH 202/M03,ARCH,202,M03,Architectural Design II,MR,9:00 AM,12:40 PM,EGGC,502,2025SP,
ARCH 202/M04,ARCH,202,M04,Architectural Design II,MR,9:00 AM,12:40 PM,EGGC,502,2025SP,
ARCH 202/M05,ARCH,202,M05,Architectural Design II,MR,9:00 AM,12:40 PM,EGGC,502,2025SP,
ARCH 202/M06,ARCH,202,M06,Architectural Design II,MR,9:00 AM,12:40 PM,EGGC,502,2025SP,
ARCH 202/M07,ARCH,202,M07,Architectural Design II,MR,9:00 AM,12:40 PM,EGGC,502,2025SP,
ARCH 211/M01,ARCH,211,M01,Statics & Strength of Material,M,2:00 PM,5:00 PM,MC26,410,2025SP,
ARCH 211/M03,ARCH,211,M03,Statics & Strength of Material,R,6:00 PM,9:00 PM,MC61,821,2025SP,
ARCH 222/M01,ARCH,222,M01,Building Construction II,W,2:00 PM,5:00 PM,EGGC,1013,2025SP,
ARCH 222/M02,ARCH,222,M02,Building Construction II,W,2:00 PM,5:00 PM,EGGC,1120,2025SP,
ARCH 302/M01,ARCH,302,M01,Architectural Design IV,MR,2:00 PM,5:40 PM,EGGC,502,2025SP,
ARCH 302/M02,ARCH,302,M02,Architectural Design IV,MR,2:00 PM,5:40 PM,EGGC,502,2025SP,
ARCH 302/M03,ARCH,302,M03,Architectural Design IV,MR,2:00 PM,5:40 PM,EGGC,502,2025SP,
ARCH 302/M04,ARCH,302,M04,Architectural Design IV,MR,2:00 PM,5:40 PM,EGGC,502,2025SP,
ARCH 302/M05,ARCH,302,M05,Architectural Design IV,MR,2:00 PM,5:40 PM,EGGC,502,2025SP,
ARCH 310/M01,ARCH,310,M01,Structural Design,W,9:00 AM,12:00 PM,MC61,924,2025SP,
ARCH 325/M02,ARCH,325,M02,Environmental Systems II,W,9:00 AM,12:00 PM,EGGC,706,2025SP,
ARCH 325/M03,ARCH,325,M03,Environmental Systems II,W,9:00 AM,12:00 PM,MC26,409,2025SP,
ARCH 327/M21,ARCH,327,M21,Comp Aided Con Drwgs,W,2:00 PM,5:40 PM,EGGC,501,2025SP,
ARCH 327/M23,ARCH,327,M23,Comp Aided Con Drwgs,W,5:30 PM,8:30 PM,EGGC,702,2025SP,
ARCH 361/M01,ARCH,361,M01,Arch Hist Sem,M,2:00 PM,5:00 PM,MC26,314,2025SP,
ARCH 361/M02,ARCH,361,M02,Arch Hist Sem,M,2:00 PM,5:00 PM,EGGC,406,2025SP,
ARCH 361/M03,ARCH,361,M03,Arch Hist Sem,M,2:00 PM,5:00 PM,MC61,1029,2025SP,
ARCH 361/M04,ARCH,361,M04,Arch Hist Sem,M,2:00 PM,5:00 PM,EGGC,1120,2025SP,2253_S_1162_NYIT1_1
ARCH 362/M01,ARCH,362,M01,History and Theory of the City,M,9:00 AM,12:00 PM,MC61,722,2025SP,
ARCH 362/M02,ARCH,362,M02,History and Theory of the City,R,9:00 AM,12:00 PM,MC61,821,2025SP,
ARCH 362/M03,ARCH,362,M03,History and Theory of the City,M,9:00 AM,12:00 PM,EGGC,701,2025SP,
ARCH 402/M01,ARCH,402,M01,Design VI- Community Design,TF,9:00 AM,12:40 PM,EGGC,1013,2025SP,
ARCH 402/M02,ARCH,402,M02,Design VI- Community Design,TF,9:00 AM,12:40 PM,EGGC,1013,2025SP,
ARCH 402/M03,ARCH,402,M03,Design VI- Community Design,TF,9:00 AM,12:40 PM,EGGC,1013,2025SP,
ARCH 402/M04,ARCH,402,M04,Design VI- Community Design,TF,9:00 AM,12:40 PM,EGGC,1013,2025SP,
ARCH 411/M01,ARCH,411,M01,Advanced Structural Concepts I,W,9:00 AM,12:00 PM,MC26,410,2025SP,
ARCH 411/M03,ARCH,411,M03,Advanced Structural Concepts I,M,9:00 AM,12:00 PM,EGGC,606,2025SP,
ARCH 481/M13,ARCH,481,M13,Professional Practice I,T,5:45 PM,8:25 PM,MC26,314,2025SP,2253_S_1184_NYIT1_1
ARCH 481/M21,ARCH,481,M21,Professional Practice I,T,5:45 PM,8:25 PM,MC26,314,2025SP,2253_S_1184_NYIT1_1
ARCH 481/M22,ARCH,481,M22,Professional Practice I,T,5:45 PM,8:25 PM,MC26,314,2025SP,2253_S_1184_NYIT1_1
ARCH 502/M01,ARCH,502,M01,Architectural Design VIII,TF,2:00 PM,5:40 PM,EGGC,1013,2025SP,
ARCH 502/M02,ARCH,502,M02,Architectural Design VIII,TF,2:00 PM,5:40 PM,EGGC,1013,2025SP,
ARCH 502/M03,ARCH,502,M03,Architectural Design VIII,TF,2:00 PM,5:40 PM,EGGC,1013,2025SP,
ARCH 502/M04,ARCH,502,M04,Architectural Design VIII,TF,2:00 PM,5:40 PM,EGGC,1013,2025SP,
ARCH 502/M05,ARCH,502,M05,Architectural Design VIII,TF,2:00 PM,5:40 PM,EGGC,1013,2025SP,2253_S_1168_NYIT1_1
ARCH 602/M01,ARCH,602,M01,M. ARCH Studio 2,TF,9:00 AM,1:00 PM,EGGC,1119,2025SP,
ARCH 621/M01,ARCH,621,M01,Building Systems I,W,2:00 PM,5:00 PM,EGGC,1013,2025SP,
ARCH 644/M11,ARCH,644,M11,Arch Visual Communication 2,T,2:00 PM,5:00 PM,EGGC,1011,2025SP,
ARCH 662/M11,ARCH,662,M11,Global History of Architecture,F,2:00 PM,5:00 PM,EGGC,706,2025SP,
ARCH 702/M01,ARCH,702,M01,Urban Design Studio II,MR,9:00 AM,1:00 PM,EGGC,1120,2025SP,2253_S_1168_NYIT1_1
ARCH 702B/M01,ARCH,702B,M01,Computational Design Studio 2,TR,2:00 PM,5:40 PM,EGGC,602,2025SP,2253_S_1131_NYIT1_1
ARCH 702C/M01,ARCH,702C,M01,Health and Design Studio 2,TR,2:00 PM,5:40 PM,MC61,1029,2025SP,2253_S_1131_NYIT1_1
ARCH 705/M01,ARCH,705,M01,M. ARCH Studio 5,MR,9:00 AM,1:00 PM,EGGC,1119,2025SP,
ARCH 705/M02,ARCH,705,M02,M. ARCH Studio 5,MR,9:00 AM,1:00 PM,EGGC,1119,2025SP,
ARCH 722/M01,ARCH,722,M01,Building Systems 2,M,2:00 PM,5:00 PM,EGGC,1119,2025SP,
ARCH 724/M12,ARCH,724,M12,Material Tectonics II,W,2:00 PM,5:00 PM,EGGC,1119,2025SP,
